"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Chile","CHL","Rural population (% of total population)","SP.RUR.TOTL.ZS","16.729","16.602","16.436","16.104","15.777","15.455","15.139","14.828","14.523","14.222","13.927","13.637","13.394","13.335","13.275","13.217","13.158","13.1","13.041","12.983","12.926","12.868","12.811","12.754","12.697","12.64","12.578",
"China","CHN","Rural population (% of total population)","SP.RUR.TOTL.ZS","73.558","72.688","71.8","70.897","69.976","69.039","68.084","67.117","66.133","65.135","64.123","62.907","61.575","60.224","58.856","57.478","56.132","54.801","53.461","52.12","50.774","49.489","48.235","46.987","45.741","44.5","43.264",
"Cote d'Ivoire","CIV","Rural population (% of total population)","SP.RUR.TOTL.ZS","60.655","60.284","59.912","59.539","59.165","58.79","58.413","58.036","57.658","57.259","56.845","56.432","56.017","55.601","55.183","54.766","54.348","53.929","53.509","53.09","52.67","52.249","51.828","51.407","50.986","50.556","50.119",
"Cameroon","CMR","Rural population (% of total population)","SP.RUR.TOTL.ZS","60.343","59.765","59.183","58.601","58.015","57.427","56.836","56.245","55.652","55.056","54.458","53.861","53.262","52.662","52.06","51.459","50.857","50.254","49.65","49.046","48.441","47.836","47.231","46.627","46.024","45.422","44.821",
"Congo, Dem. Rep.","COD","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.367","68.933","68.494","68.054","67.61","67.162","66.711","66.258","65.801","65.341","64.878","64.413","63.945","63.474","63","62.519","62.029","61.53","61.024","60.509","59.987","59.456","58.918","58.373","57.82","57.26","56.693",
"Congo, Rep.","COG","Rural population (% of total population)","SP.RUR.TOTL.ZS","45.676","45.257","44.838","44.42","44.004","43.587","43.168","42.701","42.234","41.769","41.305","40.844","40.383","39.924","39.467","39.012","38.559","38.107","37.654","37.2","36.744","36.288","35.831","35.373","34.915","34.457","33.999",
"Colombia","COL","Rural population (% of total population)","SP.RUR.TOTL.ZS","30.519","30.051","29.585","29.126","28.672","28.223","27.777","27.338","26.902","26.47","26.043","25.621","25.203","24.789","24.38","23.976","23.577","23.184","22.796","22.413","22.036","21.665","21.299","20.939","20.585","20.236","19.892",
"Comoros","COM","Rural population (% of total population)","SP.RUR.TOTL.ZS","72.131","71.634","71.565","71.61","71.654","71.699","71.743","71.787","71.832","71.876","71.92","71.964","72.008","72.053","72.097","72.125","72.137","72.133","72.114","72.079","72.027","71.96","71.877","71.777","71.662","71.53","71.381",
"Cabo Verde","CPV","Rural population (% of total population)","SP.RUR.TOTL.ZS","55.88","54.956","54.027","53.098","52.166","51.232","50.296","49.363","48.428","47.495","46.565","45.709","44.854","44.003","43.154","42.311","41.471","40.637","39.806","38.984","38.179","37.678","37.179","36.683","36.19","35.7","35.216",
"Costa Rica","CRI","Rural population (% of total population)","SP.RUR.TOTL.ZS","49.997","49.083","48.168","47.257","46.347","45.439","44.533","43.633","42.736","41.843","40.948","39.59","38.247","36.92","35.612","34.328","33.065","31.826","30.61","29.425","28.264","27.132","26.054","25.03","24.059","23.138","22.265",
