measure,country,sex,age,cause,metric,year,value,upper_ci,lower_ci
Prevalence,African Union,Both,All ages,Atrial fibrillation and flutter,Rate,2023,191.82780798247,243.23153928869,143.52482518928002
Prevalence,African Union,Both,All ages,Other cardiovascular and circulatory diseases,Number,2023,13339502.61888134,17265874.870455395,10302324.678212786
Prevalence,African Union,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2023,0.0093902848855296,0.0121699234918213,0.0072417374279669
Prevalence,African Union,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2023,916.27732391907,1185.97597477357,707.65655631992
Incidence,African Union,Both,All ages,Rheumatic heart disease,Number,2023,2509096.618157952,2999006.3595964885,2055522.5729991992
Incidence,African Union,Both,All ages,Rheumatic heart disease,Percent,2023,0.0003039731833042,0.0003772124650852,0.0002434718697833
Incidence,African Union,Both,All ages,Rheumatic heart disease,Rate,2023,172.34738059018,205.99879921293,141.1918252317
Incidence,African Union,Both,All ages,Atrial fibrillation and flutter,Number,2023,270106.7399757101,341150.712407423,203269.8255385656
Incidence,African Union,Both,All ages,Atrial fibrillation and flutter,Percent,2023,3.27254939186e-05,4.26076035331e-05,2.37523936282e-05
Incidence,African Union,Both,All ages,Atrial fibrillation and flutter,Rate,2023,18.55336648962,23.4333071291,13.96240452881
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Number,2000,613.8014996548573,1013.5139322163571,329.9545482628452
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Percent,2000,0.0040242680483555,0.0066415349213903,0.0021813503295456
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Rate,2000,1.943875938853654,3.2097434555571263,1.0449480942033005
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2000,388.38779662827255,518.1369410710785,275.8648631892657
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0025456598564721,0.003380676475117,0.001813902921956
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2000,1.230003011127556,1.6409114890492298,0.8736490057947098
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,1237.1816408463062,1839.853744282919,696.6723513940129
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0081067346662573,0.0119333080900955,0.0046002856976115
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2000,3.918086914067352,5.826716660895118,2.206323415470498
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Number,2000,40868.13553299739,60222.68325391166,27228.53840811569
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Percent,2000,0.0042806657782535,0.0064582004681416,0.0027604342368684
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Rate,2000,129.42716069132197,190.7219598132457,86.23129902981782
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2000,10532.865356015149,13442.460780110763,8049.027042728383
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0011015557624423,0.0013492181435713,0.0008667449434142
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2000,33.35701125568439,42.57154158817544,25.49083051823764
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,72582.94536523793,102933.4945311759,45904.01390923005
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0076075989215995,0.0110261473099644,0.0049118454658451
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2000,229.86623712381288,325.98477428580424,145.37551339501607
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Number,2000,9937.291422139166,15450.521172778695,6024.461175510632
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Percent,2000,0.0032093411732975,0.0042235232597462,0.0022800059546849
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Rate,2000,31.47086102548,48.93095954865,19.07914061829
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2000,4775.774844783779,7005.513711787833,2956.1356128543307
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0015495128034895,0.0020492576626629,0.0010129431498231
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2000,15.12461897759,22.18608059985,9.36192057701
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,16488.33082878843,23060.712585504032,11014.96203930154
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0053334387727713,0.0066321255419494,0.004250440104383
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2000,52.21764623899,73.03202151344,34.88378521007
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Number,2000,30930.844110858245,49320.15714914846,16215.385001197948
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Percent,2000,0.0047846096280057,0.0075702178394151,0.0025046079291788
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Rate,2000,97.9562996658356,156.19425308771633,51.35324166005017
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2000,5757.090511231358,7617.117778411073,4240.846757994859
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0008904852337168,0.0011749976278699,0.0006591058967876
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2000,18.232392278086795,24.12299738790724,13.430530844038625
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,56094.61453644952,87262.29462066946,30716.349354857943
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0086745866241147,0.0134351907443501,0.0047628144572625
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2000,177.64859088481975,276.3549371867936,97.27700644899971
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Number,2000,206651.35312283784,248724.0846120123,163930.58580972417
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Percent,2000,0.0067948297537268,0.0081828820560568,0.005373856016104
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Rate,2000,654.45358685652,787.69563737227,519.15924216035
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2000,62347.83611430935,80492.85396831606,46007.24047195725
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0020497936524487,0.0026397446748738,0.0015074905945282
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2000,197.45220324542,254.91648711619,145.70242630032
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2000,315682.8814594668,386045.3047730156,261642.91964742084
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2000,0.0103795442835336,0.0126656705148791,0.0085766712894288
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2000,999.75050227492,1222.58446692889,828.6088847290599
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2000,6341.240912408424,8343.083099098245,4805.642027268962
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2000,5.03003617746e-05,6.63812811852e-05,3.75268812013e-05
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2000,20.08236480203,26.42209004264,15.219206718789998
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Number,2000,14738.17994004696,18247.720938127608,11383.223026503209
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Percent,2000,0.0001169884108825,0.0001491157318957,8.92864138139e-05
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Rate,2000,46.67501363887,57.78953894783,36.05004771129
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Number,2001,599.8836029966777,990.9972748950516,328.04082512780724
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Percent,2001,0.0039176332416962,0.0064575832367244,0.0021307087806583
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Rate,2001,1.870645396175122,3.0902736474942234,1.0229452117333824
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2001,408.4129492682949,552.2960673674489,291.0306134823976
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.00266648359026,0.0035936052122862,0.0019028598936936
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2001,1.273573405691622,1.7222509343237786,0.9075345192588692
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,1262.5578603595316,1842.6604073235549,716.9030907089268
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0082408642319034,0.0120002345802196,0.004711777063
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,3.9370938580218975,5.746055052104953,2.2355527963077138
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Number,2001,40036.60843286653,60866.69152898161,26769.266140145075
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Percent,2001,0.0042094307483214,0.0065207910264436,0.0027695316359768
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Rate,2001,124.8480486368996,189.80348140926145,83.47586800822472
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2001,10943.648930675214,13956.48817218844,8465.009243634362
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0011490419130495,0.0014016216250981,0.0008986979354386
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2001,34.126097775067464,43.52117680106258,26.396838471799608
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,73435.07090653018,104447.55619053896,48193.15248946873
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0077274203624408,0.0109099401005194,0.0050832713071722
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,228.9960529390482,325.7037517837541,150.2829855345947
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Number,2001,10200.67801161014,16351.043075467674,6300.541911480662
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Percent,2001,0.003227681846252,0.0042633393979165,0.002283651448408
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Rate,2001,31.80925643735,50.98823054837,19.64727767394
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2001,4941.027973017162,7300.922038978461,3029.0865035040747
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0015706703166443,0.0020898748781249,0.0010688964589615
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2001,15.40784109438,22.76681031424,9.44574363108
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,17395.270580889755,23944.954215278107,11469.860630726644
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0055131383529631,0.0069001016268367,0.0043734317641043
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,54.24449453995,74.66868262555,35.76700859376
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Number,2001,29835.9304212564,49637.74574531769,15335.280061672804
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Percent,2001,0.0046882438512447,0.0077388776723385,0.0024281200390413
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Rate,2001,93.03879219954884,154.78772897132183,47.82072872657472
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2001,6002.620957658053,7982.844846911383,4437.370371105652
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0009431839384078,0.0012520298895864,0.0006970880202007
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2001,18.718256680687304,24.89328244122347,13.837261786064602
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,56039.80032564044,85807.89311901732,30646.149509011742
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0088034739652082,0.0134439339875497,0.0048316961370182
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,174.7515583990931,267.5788093168895,95.56533668056396
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Number,2001,212271.46594289024,253785.344417457,168351.64111704138
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Percent,2001,0.0068743887475983,0.0082102437512771,0.0054378935129133
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Rate,2001,661.93614648208,791.39083612169,524.97888060438
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2001,64678.95961303982,83177.98034955734,47581.10024772436
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0020944098440704,0.0026881312362917,0.0015364859363391
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2001,201.69145718456,259.37782800992,148.37439409699
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,333428.4134280954,407299.2173938744,274887.32372687
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.01079778849416,0.0131590671315622,0.0088712870341311
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2001,1039.74558300553,1270.1004029406602,857.1941357087101
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Number,2001,14917.855948576678,18509.11616092538,11584.027538617194
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Percent,2001,0.0001179397585104,0.0001499099993513,8.91617873351e-05
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Rate,2001,46.51905538275,57.7178518645,36.12302065939
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2001,6572.56737268601,8594.326424170778,4974.353575517548
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2001,5.19261935605e-05,6.86004519862e-05,3.87803096415e-05
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2001,20.49554752846,26.80009434878,15.51176189598
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Number,2002,584.2028241858211,980.145225104006,325.42590599645933
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Percent,2002,0.0038118423713295,0.0064065966782131,0.002128368238703
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Rate,2002,1.7957362316878152,3.0127931947060085,1.0003017204548772
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2002,430.7771649988241,590.9377176878367,308.2706306446623
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0028100584021719,0.0038187023851765,0.0020195313375814
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2002,1.324132871233942,1.816438104012693,0.9475694359837497
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,1286.5697606485758,1855.2603717541704,745.5826715717237
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0083902830248203,0.0120441826396873,0.0048618947672044
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,3.954688060624136,5.7027424908748445,2.291789360871145
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Number,2002,38953.47839486227,59487.61691329378,26369.30298184861
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Percent,2002,0.0041242346558751,0.0063985254913912,0.0027829175783128
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Rate,2002,119.73610809124246,182.8544207687505,81.05457695253702
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2002,11408.883375887315,14618.51689719041,8845.217871024572
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0012066090999728,0.0014582567520587,0.0009664874099152
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2002,35.06889113337307,44.93473731903003,27.188636464241327
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,73986.1625065059,99729.69225813558,50242.61175176197
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0078412452662871,0.0108780687603002,0.0052595775992818
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,227.4203875026384,306.5514481423426,154.43690883042586
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Number,2002,10465.034298534289,16815.285806702766,6450.976013441884
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Percent,2002,0.0032457299369312,0.0042252351996805,0.0022995153970832
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Rate,2002,32.167665882,51.687216698010005,19.82916014353
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2002,5121.452275005884,7608.770299520504,3204.019747047362
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0015965642140703,0.0021135131068737,0.0010893278267114
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2002,15.74243914672,23.38801515463,9.84859043575
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,18465.858855706807,25401.209245009704,12112.983652067487
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0057377339506679,0.0071596827407515,0.0045624010642846
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,56.76078653443,78.07882790282,37.23317094225
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Number,2002,28488.444096327945,47802.26353690301,15184.22883919872
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Percent,2002,0.0045702719227283,0.00763162766263,0.0024257711191756
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Rate,2002,87.56844220923682,146.93570971612127,46.67363584691471
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2002,6287.431100881438,8444.661453474795,4673.375626154711
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0010086559844495,0.0013444491925178,0.0007509436788235
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2002,19.326451986651712,25.957396829561954,14.365130719572484
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,55520.30365079908,83058.49891240642,31226.073207839512
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0089046353011584,0.013289103523679,0.0050378646743502
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,170.65960096820254,255.3071462029936,95.9834302595186
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Number,2002,217801.9895232999,260083.6874152336,172780.9195927422
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Percent,2002,0.006955351430991,0.0082814191375414,0.0055049001447843
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Rate,2002,669.48482227171,799.45128887967,531.09801016356
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2002,67174.64378452158,86082.76897174514,49244.64132804801
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0021449931512673,0.0027428966921774,0.0015684840701494
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2002,206.48298279403,264.60321786702,151.36932412554998
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,354302.6254044448,430210.08117467817,290077.914441854
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0113142063182414,0.0137286707839368,0.0092336341035641
Prevalence,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,1089.06365234979,1322.38975578282,891.6482416900901
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2002,6819.713191754489,8882.858187604472,5108.985179853387
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2002,5.3796446576e-05,7.09979680407e-05,4.03325145678e-05
Incidence,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2002,20.96259306041,27.30433614499,15.70411749961
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Number,2002,15060.051883970102,18682.518845234903,11756.766455797422
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Percent,2002,0.0001188808779789,0.0001508214711842,8.91709183651e-05
Incidence,Algeria,Both,All ages,Rheumatic heart disease,Rate,2002,46.29193783312,57.426761050550006,36.13822223744
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Number,2003,582.3711648799728,950.0709274471456,329.3266878191479
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Percent,2003,0.0037175109564651,0.0061310003262573,0.0020963166594524
Deaths,Algeria,Both,All ages,Rheumatic heart disease,Rate,2003,1.7660703550857253,2.881138698786745,0.9987000311319324
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2003,457.3470279684383,626.4724414480806,329.9076764224383
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0029188605950101,0.0039883230614629,0.002115629242425
Deaths,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2003,1.3869282629199031,1.8998097327632328,1.0004619087982578
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,1326.914997844263,1911.2711372211352,774.1462152675577
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0084663314367368,0.0121247699731346,0.004949272751043
Deaths,Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,4.023937623859475,5.796027515670201,2.3476380077430985
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Number,2003,38522.111165067785,58587.183083470256,25580.542568112032
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Percent,2003,0.0040278117988586,0.0061818508976365,0.0027117945837426
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Rheumatic heart disease,Rate,2003,116.82027312936178,177.66863037084232,77.57430419114617
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2003,11983.53641010709,15397.060669556038,9248.538999146846
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0012518012891975,0.0015274040994488,0.0009950018445751
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2003,36.34068731294831,46.69237428601681,28.04666772540811
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,75164.28092470513,102492.74050050376,51565.1923776031
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0078683695135521,0.0108806058635776,0.0053710042514949
DALYs (Disability-Adjusted Life Years),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,227.9395277577252,310.814479708555,156.3740842683144
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Number,2003,10714.984749078973,16985.834514828108,6622.56070699316
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Percent,2003,0.0032589210539863,0.004301373078815,0.0023004473546784
YLDs (Years Lived with Disability),Algeria,Both,All ages,Rheumatic heart disease,Rate,2003,32.4937394942,51.51041226296,20.08325419371
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2003,5335.68198166842,7984.396450873795,3376.42144449864
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0016304753287784,0.002177473987399,0.0010936264075528
YLDs (Years Lived with Disability),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2003,16.18072861476,24.21309076668,10.23917078833
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,19630.31592555198,27161.82658420692,13109.55808079584
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0059826496523282,0.0075465836859353,0.0047751905810121
YLDs (Years Lived with Disability),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,59.52993744844,82.36962887788,39.7554056433
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Number,2003,27807.126415988805,46411.95129716853,14652.781702231983
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Percent,2003,0.0044222694474922,0.0073278215333027,0.0023222726430807
YLLs (Years of Life Lost),Algeria,Both,All ages,Rheumatic heart disease,Rate,2003,84.32653363516114,140.7466170213034,44.43531023584919
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2003,6647.854428438675,8860.13285727609,4887.60899734045
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0010572843199284,0.0014000651256736,0.0007711795031799
YLLs (Years of Life Lost),Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2003,20.15995869817943,26.86880622700693,14.821924363704156
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,55533.964999153104,84968.91997061635,31520.91053854897
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0088299802523999,0.0134306368757025,0.0050442977779971
YLLs (Years of Life Lost),Algeria,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,168.40959030927712,257.6725973283461,95.58877400620248
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Number,2003,223232.47394948607,267337.7854330657,176897.5210809381
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Percent,2003,0.007035389435329,0.0084090519782058,0.0055705133637967
Prevalence,Algeria,Both,All ages,Rheumatic heart disease,Rate,2003,676.96389915851,810.7155129236401,536.4507838117
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Number,2003,69740.04816331746,89062.11458988705,50948.938290199454
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0021977750153593,0.0028085042189158,0.0016018986274861
Prevalence,Algeria,Both,All ages,Atrial fibrillation and flutter,Rate,2003,211.49026437267,270.08541944356,154.50526221702
