measure,country,sex,age,cause,metric,year,value,upper_ci,lower_ci
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Percent,2000,0.0166565766010015,0.0202744317668113,0.0130588436296229
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Rate,2000,1652.50549559026,2010.66671255387,1297.72882771155
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2000,1081488.5953177577,1381669.4784344472,815118.951817495
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2000,0.0016261626721516,0.0020765875247452,0.001225026792083
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2000,161.33703982355,206.11818250351,121.59987572654
Incidence,African Region,Both,All ages,Rheumatic heart disease,Number,2000,1281759.4749547113,1534708.5161616304,1046510.240357734
Incidence,African Region,Both,All ages,Rheumatic heart disease,Percent,2000,0.0003067165112857,0.0003758345136527,0.0002445144426724
Incidence,African Region,Both,All ages,Rheumatic heart disease,Rate,2000,191.21355541824,228.94862697721,156.11895035725
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2000,102279.55455007736,130044.89612799489,76937.8621719987
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2000,2.44596388167e-05,3.18266228322e-05,1.8364140478e-05
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2000,15.25811796538,19.40016628588,11.47763091254
Deaths,African Region,Both,All ages,Rheumatic heart disease,Number,2001,17634.850066907115,25672.853955424616,11311.430385900416
Deaths,African Region,Both,All ages,Rheumatic heart disease,Percent,2001,0.0019751853112438,0.0028617654744007,0.0012668065168661
Deaths,African Region,Both,All ages,Rheumatic heart disease,Rate,2001,2.562363991509867,3.730295198716656,1.6435638411064268
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2001,5669.6920947778,7127.639647577493,4487.355893829913
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0006350468563678,0.000798775302756,0.0005039137541632
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2001,0.8238127804595926,1.0356542362491326,0.6520179709957672
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2001,21179.00206468245,32221.189435895754,13848.475644837254
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2001,0.0023722129704953,0.0036109241587263,0.0015537230335541
